id,employee_id,shift_date,time_in,time_out,work_area,shift_label,decimal_hours,notes
1,13,2023-07-07,17:00:00,20:30:00,Front,Dinner,3.50,
2,13,2023-07-14,11:00:00,14:30:00,Front,Lunch,3.50,
3,13,2023-07-21,12:00:00,15:30:00,Front,Lunch,3.50,
4,13,2023-07-26,17:00:00,20:30:00,Front,Dinner,3.50,
5,13,2023-08-04,11:00:00,14:30:00,Front,Lunch,3.50,
6,13,2023-08-18,11:00:00,15:00:00,Front,Lunch,4.00,
7,13,2023-08-25,11:00:00,14:30:00,Front,Lunch,3.50,
8,13,2023-08-25,17:00:00,20:30:00,Front,Dinner,3.50,
9,13,2023-09-08,11:00:00,14:30:00,Front,Lunch,3.50,
10,13,2023-09-15,11:00:00,14:30:00,Front,Lunch,3.50,
11,13,2023-09-22,11:00:00,14:30:00,Front,Lunch,3.50,
12,13,2023-09-29,11:00:00,14:30:00,Front,Lunch,3.50,
13,13,2023-10-04,11:00:00,14:30:00,Front,Lunch,3.50,
14,13,2023-10-06,11:00:00,14:30:00,Front,Lunch,3.50,
15,13,2023-10-13,11:00:00,14:30:00,Front,Lunch,3.50,
16,13,2023-10-20,11:00:00,14:30:00,Front,Lunch,3.50,
17,13,2023-11-08,11:00:00,14:30:00,Front,Lunch,3.50,
18,13,2023-11-17,11:00:00,14:30:00,Front,Lunch,3.50,
19,13,2023-11-24,11:00:00,14:30:00,Front,Lunch,3.50,
20,13,2023-12-01,11:00:00,14:30:00,Front,Lunch,3.50,
21,13,2023-12-08,11:00:00,14:30:00,Front,Lunch,3.50,
22,13,2023-12-22,11:00:00,14:30:00,Front,Lunch,3.50,
23,13,2023-12-29,11:00:00,14:30:00,Front,Lunch,3.50,
24,11,2023-07-02,11:00:00,14:30:00,Front,Lunch,3.50,
25,11,2023-07-09,11:30:00,14:30:00,Front,Lunch,3.00,
26,11,2023-07-23,12:00:00,14:30:00,Front,Lunch,2.50,
27,11,2023-07-30,11:00:00,14:30:00,Front,Lunch,3.50,
28,11,2023-08-13,11:00:00,14:45:00,Front,Lunch,3.75,
29,11,2023-08-27,11:00:00,14:30:00,Front,Lunch,3.50,
30,11,2023-09-03,11:00:00,14:30:00,Front,Lunch,3.50,
31,11,2023-09-10,11:00:00,14:30:00,Front,Lunch,3.50,
32,11,2023-09-17,11:00:00,14:30:00,Front,Lunch,3.50,
33,11,2023-09-24,11:00:00,14:30:00,Front,Lunch,3.50,
34,11,2023-10-01,11:00:00,14:30:00,Front,Lunch,3.50,
35,11,2023-10-15,11:00:00,14:30:00,Front,Lunch,3.50,
36,11,2023-10-22,11:00:00,14:30:00,Front,Lunch,3.50,
37,11,2023-10-29,11:00:00,14:30:00,Front,Lunch,3.50,
38,11,2023-11-05,11:00:00,14:30:00,Front,Lunch,3.50,
39,11,2023-11-12,11:00:00,14:15:00,Front,Lunch,3.25,
40,11,2023-11-19,11:00:00,14:30:00,Front,Lunch,3.50,
41,11,2023-11-26,11:00:00,14:30:00,Front,Lunch,3.50,
42,11,2023-12-03,11:00:00,14:30:00,Front,Lunch,3.50,
43,11,2023-12-10,11:00:00,14:30:00,Front,Lunch,3.50,
44,11,2023-12-17,11:00:00,14:30:00,Front,Lunch,3.50,
45,11,2023-12-24,11:00:00,15:00:00,Front,Lunch,4.00,
46,11,2024-01-07,11:00:00,14:30:00,Front,Lunch,3.50,
47,11,2024-01-14,11:00:00,14:30:00,Front,Lunch,3.50,
48,11,2024-01-21,11:00:00,14:30:00,Front,Lunch,3.50,
49,11,2024-01-28,11:00:00,14:30:00,Front,Lunch,3.50,
50,11,2024-02-04,11:00:00,14:30:00,Front,Lunch,3.50,
51,11,2024-02-11,11:00:00,14:45:00,Front,Lunch,3.75,
52,11,2024-02-18,11:00:00,14:30:00,Front,Lunch,3.50,
53,11,2024-02-25,11:00:00,14:30:00,Front,Lunch,3.50,
54,11,2024-03-03,11:00:00,14:30:00,Front,Lunch,3.50,
55,11,2024-03-10,11:00:00,14:30:00,Front,Lunch,3.50,
56,11,2024-03-17,11:00:00,14:30:00,Front,Lunch,3.50,
57,11,2024-03-24,11:00:00,14:30:00,Front,Lunch,3.50,
58,11,2024-03-31,11:00:00,14:30:00,Front,Lunch,3.50,
59,11,2024-04-07,11:00:00,14:30:00,Front,Lunch,3.50,
60,11,2024-04-14,11:00:00,14:30:00,Front,Lunch,3.50,
61,11,2024-04-21,11:00:00,14:30:00,Front,Lunch,3.50,
62,11,2024-04-28,11:00:00,14:00:00,Front,Lunch,3.00,
63,11,2024-05-05,11:00:00,14:30:00,Front,Lunch,3.50,
64,11,2024-05-12,11:00:00,14:30:00,Front,Lunch,3.50,
65,11,2024-05-19,11:00:00,14:30:00,Front,Lunch,3.50,
66,11,2024-05-26,11:00:00,14:30:00,Front,Lunch,3.50,
67,11,2024-06-02,11:00:00,14:30:00,Front,Lunch,3.50,
68,11,2024-06-09,11:00:00,14:30:00,Front,Lunch,3.50,
69,11,2024-06-16,11:00:00,14:30:00,Front,Lunch,3.50,
70,11,2024-06-23,11:00:00,14:30:00,Front,Lunch,3.50,
71,11,2024-06-30,11:00:00,14:30:00,Front,Lunch,3.50,
72,11,2024-07-07,11:00:00,14:15:00,Front,Lunch,3.25,
73,11,2024-07-21,11:00:00,14:30:00,Front,Lunch,3.50,
74,11,2024-07-28,11:00:00,14:30:00,Front,Lunch,3.50,
75,11,2024-08-04,11:00:00,14:30:00,Front,Lunch,3.50,
76,11,2024-08-11,11:00:00,14:30:00,Front,Lunch,3.50,
77,11,2024-08-18,11:00:00,14:30:00,Front,Lunch,3.50,
78,11,2024-08-25,11:00:00,15:00:00,Front,Lunch,4.00,
79,11,2024-09-01,11:00:00,14:45:00,Front,Lunch,3.75,
80,11,2024-09-08,11:00:00,14:30:00,Front,Lunch,3.50,
81,11,2024-09-15,11:00:00,14:15:00,Front,Lunch,3.25,
82,11,2024-09-22,11:00:00,14:30:00,Front,Lunch,3.50,
83,11,2024-09-29,11:00:00,14:30:00,Front,Lunch,3.50,
84,11,2024-10-06,11:00:00,14:30:00,Front,Lunch,3.50,
85,11,2024-10-13,11:00:00,14:45:00,Front,Lunch,3.75,
86,11,2024-10-20,11:00:00,14:30:00,Front,Lunch,3.50,
87,11,2024-10-27,11:00:00,14:30:00,Front,Lunch,3.50,
88,11,2024-11-03,11:00:00,14:15:00,Front,Lunch,3.25,
89,11,2024-11-10,11:00:00,14:15:00,Front,Lunch,3.25,
90,11,2024-11-17,11:00:00,14:15:00,Front,Lunch,3.25,
91,11,2024-11-24,11:00:00,14:15:00,Front,Lunch,3.25,
