employee_id,shift_date,time_in,time_out,work_area,shift_label,decimal_hours,notes
13,7/7/2023,5:00:00 PM,8:30:00 PM,Front,Dinner,3.50,
13,7/14/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,7/21/2023,12:00:00 PM,3:30:00 PM,Front,Lunch,3.50,
13,7/26/2023,5:00:00 PM,8:30:00 PM,Front,Dinner,3.50,
13,8/4/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,8/18/2023,11:00:00 AM,3:00:00 PM,Front,Lunch,4.00,
13,8/25/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,8/25/2023,5:00:00 PM,8:30:00 PM,Front,Dinner,3.50,
13,9/8/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,9/15/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,9/22/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,9/29/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,10/4/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,10/6/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,10/13/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,10/20/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,11/8/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,11/17/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,11/24/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,12/1/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,12/8/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,12/22/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
13,12/29/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,7/2/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,7/9/2023,11:30:00 AM,2:30:00 PM,Front,Lunch,3.00,
11,7/23/2023,12:00:00 PM,2:30:00 PM,Front,Lunch,2.50,
11,7/30/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,8/13/2023,11:00:00 AM,2:45:00 PM,Front,Lunch,3.75,
11,8/27/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,9/3/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,9/10/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,9/17/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,9/24/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,10/1/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,10/15/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,10/22/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,10/29/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,11/5/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,11/12/2023,11:00:00 AM,2:15:00 PM,Front,Lunch,3.25,
11,11/19/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,11/26/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,12/3/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,12/10/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,12/17/2023,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,12/24/2023,11:00:00 AM,3:00:00 PM,Front,Lunch,4.00,
11,1/7/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,1/14/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,1/21/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,1/28/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,2/4/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,2/11/2024,11:00:00 AM,2:45:00 PM,Front,Lunch,3.75,
11,2/18/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,2/25/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,3/3/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,3/10/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,3/17/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,3/24/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,3/31/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,4/7/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,4/14/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,4/21/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,4/28/2024,11:00:00 AM,2:00:00 PM,Front,Lunch,3.00,
11,5/5/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,5/12/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,5/19/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,5/26/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,6/2/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,6/9/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,6/16/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,6/23/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,6/30/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,7/7/2024,11:00:00 AM,2:15:00 PM,Front,Lunch,3.25,
11,7/21/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,7/28/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,8/4/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,8/11/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,8/18/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,8/25/2024,11:00:00 AM,3:00:00 PM,Front,Lunch,4.00,
11,9/1/2024,11:00:00 AM,2:45:00 PM,Front,Lunch,3.75,
11,9/8/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,9/15/2024,11:00:00 AM,2:15:00 PM,Front,Lunch,3.25,
11,9/22/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,9/29/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,10/6/2024,11:00:00 AM,2:30:00 PM,Front,Lunch,3.50,
11,10/13/2024,11:00:00 AM,2:45:00 PM,Front,Lunch,3.75,
